University,Univ_Rank,Enrollment,Avg_SAT,Avg_ACT,city,state,Latitude,Longitude,univ_rank,enrollment,avg_sat,avg_act,latitude,longitude
Princeton University,1.0,5400.0,1400.0,32.0,Princeton,NJ,40.3563,-74.6693,,,,,,
Harvard University,2.0,6710.0,1430.0,32.0,Cambridge,MA,42.3759,-71.1185,,,,,,
University of Chicago,3.0,5941.0,1450.0,32.0,Chicago,IL,41.8373,-87.6862,,,,,,
Yale University,3.0,5472.0,1420.0,32.0,New Haven,CT,41.3112,-72.9246,,,,,,
Columbia University,5.0,6113.0,1430.0,32.0,New York,NY,40.6943,-73.9249,,,,,,
Massachusetts Institute of Technology,5.0,4524.0,1460.0,33.0,Cambridge,MA,42.3759,-71.1185,,,,,,
Stanford University,5.0,7034.0,1380.0,31.0,Stanford,CA,37.4252,-122.1674,,,,,,
University of Pennsylvania,8.0,10019.0,1380.0,32.0,Philadelphia,PA,40.0077,-75.1339,,,,,,
Duke University,9.0,6609.0,1380.0,31.0,Durham,NC,35.9794,-78.9031,,,,,,
California Institute of Technology,10.0,979.0,1510.0,34.0,Pasadena,CA,34.1597,-118.139,,,,,,
Dartmouth College,11.0,4310.0,1350.0,30.0,Hanover,NH,43.7044,-72.2887,,,,,,
Johns Hopkins University,11.0,6117.0,1420.0,32.0,Baltimore,MD,39.3051,-76.6144,,,,,,
Northwestern University,11.0,8353.0,1400.0,32.0,Evanston,IL,42.0463,-87.6942,,,,,,
Brown University,14.0,6926.0,1370.0,31.0,Providence,RI,41.823,-71.4187,,,,,,
Cornell University,14.0,14566.0,1330.0,31.0,Ithaca,NY,42.4442,-76.5032,,,,,,
Rice University,14.0,3893.0,1410.0,32.0,Houston,TX,29.7863,-95.3889,,,,,,
Vanderbilt University,14.0,6871.0,1420.0,32.0,Nashville,TN,36.1715,-86.7843,,,,,,
University of Notre Dame,18.0,8530.0,1350.0,32.0,Notre Dame,IN,41.7014,-86.2378,,,,,,
Washington University in St Louis,18.0,7540.0,1400.0,32.0,St. Louis,MO,38.6358,-90.2451,,,,,,
Georgetown University,20.0,7453.0,1320.0,30.0,Washington,DC,38.9047,-77.0163,,,,,,
Emory University,21.0,6861.0,1290.0,30.0,Atlanta,GA,33.7627,-84.4224,,,,,,
University of California--Berkeley,21.0,29311.0,1300.0,29.0,Berkeley,CA,37.8723,-122.276,,,,,,
University of California--Los Angeles,21.0,30873.0,1160.0,25.0,Los Angeles,CA,34.1139,-118.4068,,,,,,
University of Southern California,21.0,18794.0,1280.0,30.0,Los Angeles,CA,34.1139,-118.4068,,,,,,
Carnegie Mellon University,25.0,6673.0,1380.0,31.0,Pittsburgh,PA,40.4396,-79.9762,,,,,,
University of Virginia,25.0,16331.0,1240.0,29.0,Charlottesville,VA,38.0375,-78.4855,,,,,,
