:START_ID,:END_ID,:TYPE
f0,i0,AFFILIATION_WITH
f1,i0,AFFILIATION_WITH
f2,i0,AFFILIATION_WITH
f3,i0,AFFILIATION_WITH
f4,i0,AFFILIATION_WITH
f5,i0,AFFILIATION_WITH
f6,i0,AFFILIATION_WITH
f7,i0,AFFILIATION_WITH
f8,i0,AFFILIATION_WITH
f9,i0,AFFILIATION_WITH
f10,i0,AFFILIATION_WITH
f11,i0,AFFILIATION_WITH
f12,i0,AFFILIATION_WITH
f13,i0,AFFILIATION_WITH
f14,i0,AFFILIATION_WITH
f15,i0,AFFILIATION_WITH
f16,i0,AFFILIATION_WITH
f17,i0,AFFILIATION_WITH
f18,i0,AFFILIATION_WITH
f19,i0,AFFILIATION_WITH
f20,i0,AFFILIATION_WITH
f21,i0,AFFILIATION_WITH
f22,i0,AFFILIATION_WITH
f23,i0,AFFILIATION_WITH
f24,i0,AFFILIATION_WITH
f25,i0,AFFILIATION_WITH
f26,i0,AFFILIATION_WITH
f27,i1,AFFILIATION_WITH
f28,i1,AFFILIATION_WITH
f29,i1,AFFILIATION_WITH
f30,i1,AFFILIATION_WITH
f31,i1,AFFILIATION_WITH
f32,i1,AFFILIATION_WITH
f33,i1,AFFILIATION_WITH
f34,i1,AFFILIATION_WITH
f35,i1,AFFILIATION_WITH
f36,i1,AFFILIATION_WITH
f37,i1,AFFILIATION_WITH
f38,i1,AFFILIATION_WITH
f39,i1,AFFILIATION_WITH
f40,i1,AFFILIATION_WITH
f41,i1,AFFILIATION_WITH
f42,i1,AFFILIATION_WITH
f43,i1,AFFILIATION_WITH
f44,i1,AFFILIATION_WITH
f45,i1,AFFILIATION_WITH
f46,i1,AFFILIATION_WITH
f47,i1,AFFILIATION_WITH
f48,i1,AFFILIATION_WITH
f49,i1,AFFILIATION_WITH
f50,i2,AFFILIATION_WITH
f51,i2,AFFILIATION_WITH
f52,i2,AFFILIATION_WITH
f53,i2,AFFILIATION_WITH
f54,i2,AFFILIATION_WITH
f55,i2,AFFILIATION_WITH
f56,i2,AFFILIATION_WITH
f57,i2,AFFILIATION_WITH
f58,i2,AFFILIATION_WITH
f59,i2,AFFILIATION_WITH
f60,i2,AFFILIATION_WITH
f61,i2,AFFILIATION_WITH
f62,i2,AFFILIATION_WITH
f63,i2,AFFILIATION_WITH
f64,i2,AFFILIATION_WITH
f65,i2,AFFILIATION_WITH
f66,i2,AFFILIATION_WITH
f67,i2,AFFILIATION_WITH
f68,i2,AFFILIATION_WITH
f69,i2,AFFILIATION_WITH
f70,i2,AFFILIATION_WITH
f71,i2,AFFILIATION_WITH
f72,i2,AFFILIATION_WITH
f73,i2,AFFILIATION_WITH
f74,i2,AFFILIATION_WITH
f75,i2,AFFILIATION_WITH
f76,i2,AFFILIATION_WITH
f77,i2,AFFILIATION_WITH
f78,i2,AFFILIATION_WITH
f79,i2,AFFILIATION_WITH
f80,i2,AFFILIATION_WITH
f81,i2,AFFILIATION_WITH
f82,i2,AFFILIATION_WITH
f83,i2,AFFILIATION_WITH
f84,i2,AFFILIATION_WITH
f85,i2,AFFILIATION_WITH
f86,i2,AFFILIATION_WITH
f87,i2,AFFILIATION_WITH
f88,i3,AFFILIATION_WITH
f89,i3,AFFILIATION_WITH
f90,i3,AFFILIATION_WITH
f91,i3,AFFILIATION_WITH
f92,i3,AFFILIATION_WITH
f93,i3,AFFILIATION_WITH
f94,i3,AFFILIATION_WITH
f95,i3,AFFILIATION_WITH
f96,i3,AFFILIATION_WITH
f97,i3,AFFILIATION_WITH
f98,i3,AFFILIATION_WITH
f99,i3,AFFILIATION_WITH
f100,i3,AFFILIATION_WITH
f101,i3,AFFILIATION_WITH
f102,i3,AFFILIATION_WITH
f103,i3,AFFILIATION_WITH
f104,i4,AFFILIATION_WITH
f105,i4,AFFILIATION_WITH
f106,i4,AFFILIATION_WITH
f107,i4,AFFILIATION_WITH
f108,i4,AFFILIATION_WITH
f109,i4,AFFILIATION_WITH
f110,i4,AFFILIATION_WITH
f111,i4,AFFILIATION_WITH
f112,i4,AFFILIATION_WITH
f113,i4,AFFILIATION_WITH
f114,i4,AFFILIATION_WITH
f115,i4,AFFILIATION_WITH
f116,i4,AFFILIATION_WITH
f117,i4,AFFILIATION_WITH
f118,i4,AFFILIATION_WITH
f119,i4,AFFILIATION_WITH
f120,i4,AFFILIATION_WITH
f121,i4,AFFILIATION_WITH
f122,i4,AFFILIATION_WITH
f123,i4,AFFILIATION_WITH
f124,i4,AFFILIATION_WITH
f125,i4,AFFILIATION_WITH
f126,i4,AFFILIATION_WITH
f127,i4,AFFILIATION_WITH
f128,i4,AFFILIATION_WITH
f129,i4,AFFILIATION_WITH
f130,i4,AFFILIATION_WITH
f131,i4,AFFILIATION_WITH
f132,i4,AFFILIATION_WITH
f133,i4,AFFILIATION_WITH
f134,i4,AFFILIATION_WITH
f135,i4,AFFILIATION_WITH
f136,i4,AFFILIATION_WITH
f137,i4,AFFILIATION_WITH
f138,i4,AFFILIATION_WITH
f139,i4,AFFILIATION_WITH
f140,i4,AFFILIATION_WITH
f141,i4,AFFILIATION_WITH
f142,i4,AFFILIATION_WITH
f143,i4,AFFILIATION_WITH
f144,i4,AFFILIATION_WITH
f145,i4,AFFILIATION_WITH
f146,i4,AFFILIATION_WITH
f147,i4,AFFILIATION_WITH
f148,i4,AFFILIATION_WITH
f149,i4,AFFILIATION_WITH
f150,i4,AFFILIATION_WITH
f151,i4,AFFILIATION_WITH
f152,i4,AFFILIATION_WITH
