:START_ID,:END_ID,score:float,:TYPE
f0,k174,44.8985,INTERESTED_IN
f0,k337,32.522,INTERESTED_IN
f0,k559,27.3669,INTERESTED_IN
f0,k1150,32.751,INTERESTED_IN
f0,k1635,24.2853,INTERESTED_IN
f0,k1858,29.0366,INTERESTED_IN
f0,k3676,101.876,INTERESTED_IN
f0,k3799,58.5785,INTERESTED_IN
f0,k4352,49.4999,INTERESTED_IN
f0,k7200,20.4316,INTERESTED_IN
f0,k8028,25.2255,INTERESTED_IN
f0,k9814,22.6997,INTERESTED_IN
f0,k16183,46.1369,INTERESTED_IN
f0,k25954,23.6043,INTERESTED_IN
f0,k41987,32.8014,INTERESTED_IN
f0,k48704,29.9577,INTERESTED_IN
f0,k49601,86.1408,INTERESTED_IN
f1,k278,2.93473,INTERESTED_IN
f1,k753,1.81884,INTERESTED_IN
f1,k4312,3.18445,INTERESTED_IN
f1,k5296,3.79435,INTERESTED_IN
f1,k5602,2.24515,INTERESTED_IN
f1,k10362,1.55956,INTERESTED_IN
f1,k12354,9.58108,INTERESTED_IN
f1,k14199,2.51624,INTERESTED_IN
f1,k19201,2.04897,INTERESTED_IN
f1,k19328,3.18813,INTERESTED_IN
f1,k20321,4.8955,INTERESTED_IN
f1,k24058,5.59797,INTERESTED_IN
f1,k26828,15.2139,INTERESTED_IN
f1,k38872,41.5017,INTERESTED_IN
f1,k47322,13.2177,INTERESTED_IN
f1,k47324,13.5299,INTERESTED_IN
f1,k53332,5.11379,INTERESTED_IN
f2,k908,171.108,INTERESTED_IN
f2,k914,241.117,INTERESTED_IN
f2,k1245,257.776,INTERESTED_IN
f2,k1419,270.529,INTERESTED_IN
f2,k1662,256.337,INTERESTED_IN
f2,k1668,273.977,INTERESTED_IN
f2,k2316,1036.91,INTERESTED_IN
f2,k2995,308.042,INTERESTED_IN
f2,k3405,490.047,INTERESTED_IN
f2,k7235,242.486,INTERESTED_IN
f2,k10231,426.893,INTERESTED_IN
f2,k14313,376.192,INTERESTED_IN
f2,k14797,188.103,INTERESTED_IN
f2,k22297,174.836,INTERESTED_IN
f2,k47704,209.044,INTERESTED_IN
f2,k49709,198.573,INTERESTED_IN
f2,k73168,199.978,INTERESTED_IN
f3,k9,0.0,INTERESTED_IN
f3,k2171,0.21093,INTERESTED_IN
f3,k2871,0.150429,INTERESTED_IN
f3,k5873,0.0949385,INTERESTED_IN
f3,k6252,0.123257,INTERESTED_IN
f3,k6633,0.058345,INTERESTED_IN
f3,k7391,0.0,INTERESTED_IN
f3,k9182,0.0,INTERESTED_IN
f3,k10108,0.050931,INTERESTED_IN
f3,k11055,0.922239,INTERESTED_IN
f3,k11381,0.0,INTERESTED_IN
f3,k12051,0.0,INTERESTED_IN
f3,k13754,0.104029,INTERESTED_IN
f3,k16265,0.0,INTERESTED_IN
f3,k19864,0.284901,INTERESTED_IN
f3,k45086,0.0,INTERESTED_IN
f3,k57049,0.0,INTERESTED_IN
f3,k70098,0.0,INTERESTED_IN
f4,k890,22.3245,INTERESTED_IN
f4,k1352,9.36075,INTERESTED_IN
f4,k2091,8.42394,INTERESTED_IN
f4,k2247,12.6733,INTERESTED_IN
