id:ID,name,photoUrl,:LABEL
i0,College of William Mary,https://www.wm.edu/img/wm_vertical_single_line_full_color.png,INSTITUTE
i1,University of Rochester,https://d2jyir0m79gs60.cloudfront.net/college/logos/University_of_Rochester.png,INSTITUTE
i2,Emory University,https://communications.emory.edu/_includes/images/sections/branding-identity/horizontal-logo.png,INSTITUTE
i3,University of California--Berkeley,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Seal_of_University_of_California%2C_Berkeley.svg/1200px-Seal_of_University_of_California%2C_Berkeley.svg.png,INSTITUTE
i4,Carnegie Mellon University,https://www.cmu.edu/brand/brand-guidelines/images/wm-1in-600x600-min.jpg,INSTITUTE
i5,Harvard University,http://assets.stickpng.com/images/5842f68fa6515b1e0ad75b22.png,INSTITUTE
i6,Northwestern University,https://www.northwestern.edu/brand/images/nu-horizontal.jpg,INSTITUTE
i7,Cornell University,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Cornell_University_seal.svg/1024px-Cornell_University_seal.svg.png,INSTITUTE
i8,Case Western Reserve University,https://case.edu/umc/sites/case.edu.umc/files/2018-03/formalLogo560x285.jpg,INSTITUTE
i9,Yale University,https://kclsed.org/wp-content/uploads/2020/02/yale-university-logo-png-2.png,INSTITUTE
i10,Johns Hopkins University,https://brand.jhu.edu/assets/uploads/sites/5/2014/06/university_logo_small_vertical_blue.png,INSTITUTE
i11,University of California--Los Angeles,https://upload.wikimedia.org/wikipedia/commons/9/9d/University_of_California%2C_Los_Angeles_logo.png,INSTITUTE
i12,University of illinois at Urbana Champaign,https://www.bestcollegesonline.org/wp-content/uploads/2019/10/university-of-illinois-at-urbana-champaign.png,INSTITUTE
i13,University of Florida,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/University_of_Florida_Vertical_Signature.svg/1200px-University_of_Florida_Vertical_Signature.svg.png,INSTITUTE
i14,Wake Forest University,https://prod.wp.cdn.aws.wfu.edu/sites/73/2017/04/WFU_Univ_V_RGB.jpg,INSTITUTE
i15,University of California--San Diego,https://upload.wikimedia.org/wikipedia/en/thumb/4/44/University_of_California%2C_San_Diego_seal.svg/1200px-University_of_California%2C_San_Diego_seal.svg.png,INSTITUTE
i16,University of California--Irvine,https://upload.wikimedia.org/wikipedia/en/thumb/0/0e/University_of_California%2C_Irvine_seal.svg/1200px-University_of_California%2C_Irvine_seal.svg.png,INSTITUTE
i17,Boston University,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Boston_University_wordmark.svg/1200px-Boston_University_wordmark.svg.png,INSTITUTE
i18,New York University,https://download.logo.wine/logo/New_York_University/New_York_University-Logo.wine.png,INSTITUTE
i19,Lehigh University,https://upload.wikimedia.org/wikipedia/en/thumb/e/ef/LUwithShield-CMYK.svg/1200px-LUwithShield-CMYK.svg.png,INSTITUTE
i20,Georgetown University,https://www.georgetown.edu/wp-content/uploads/2019/10/Georgetown_logo_blueRGB-300x210.jpg,INSTITUTE
i21,University of Southern California,https://identity.usc.edu/files/2019/01/PrimShield-Word_SmallUse_CardOnTrans.png,INSTITUTE
i22,Tufts University,https://upload.wikimedia.org/wikipedia/commons/6/6f/Tufts_University_logo.png,INSTITUTE
i23,University of Notre Dame,https://seekvectorlogo.com/wp-content/uploads/2019/08/university-of-notre-dame-vector-logo.png,INSTITUTE
i24,University of Wisconsin--Madison,https://brand.wisc.edu/content/uploads/2016/11/readability-01.jpg,INSTITUTE
i25,University of Chicago,https://seekvectorlogo.com/wp-content/uploads/2018/01/university-of-chicago-vector-logo.png,INSTITUTE
i26,Tulane University,https://upload.wikimedia.org/wikipedia/en/thumb/7/7e/Tulane_logo.svg/1200px-Tulane_logo.svg.png,INSTITUTE
i27,Stanford University,https://base.imgix.net/files/base/ebm/asumag/image/2019/05/asumag_9440_stanford_university_logo_png_1200.png?auto=format&fit=max&w=1200,INSTITUTE
i28,University of Pennsylvania,https://branding.web-resources.upenn.edu/sites/default/files/vertical_1.png,INSTITUTE
i29,Brandeis University,https://www.brandeis.edu/brand/images/logo/brandeis-logo-stacked-seal-blue-digital.png,INSTITUTE
i30,Northeastern University,https://upload.wikimedia.org/wikipedia/en/thumb/b/bd/Northeastern_University_seal.svg/1200px-Northeastern_University_seal.svg.png,INSTITUTE
i31,Columbia University,https://www.rockefellerfoundation.org/wp-content/uploads/columbia-university-logo-png-columbia-university-crown.jpg,INSTITUTE
i32,Duke University,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Duke_University_logo.svg/1280px-Duke_University_logo.svg.png,INSTITUTE
i33,Massachusetts Institute of Technology,https://base.imgix.net/files/base/ebm/asumag/image/2019/04/asumag_8781_mit_logo.png?auto=format&fit=crop&h=432&w=768,INSTITUTE
i34,University of Virginia,https://brand.virginia.edu/sites/uva_brand/files/styles/asset_embed_smallest_1_x/public/2017-08/uva_primary_logo.jpg?h=b655f2ac,INSTITUTE
i35,Dartmouth College,https://upload.wikimedia.org/wikipedia/en/thumb/e/e4/Dartmouth_College_shield.svg/1200px-Dartmouth_College_shield.svg.png,INSTITUTE
i36,Vanderbilt University,https://i.pinimg.com/originals/95/a4/01/95a401a50835d866b2bf9a100b2ce121.png,INSTITUTE
i37,University of Texas at Austin,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/University_of_Texas_at_Austin_logo.svg/1280px-University_of_Texas_at_Austin_logo.svg.png,INSTITUTE
i38,University of North Carolina at Chapel Hill,https://i.pinimg.com/originals/15/3a/cb/153acbc4b616698ca3f4ddd028dc8aa4.jpg,INSTITUTE
i39,Rice University,https://i.pinimg.com/originals/38/58/58/3858585be4f987f48ada19fcc17dfd3f.png,INSTITUTE
i40,Georgia Institute of Technology,https://brand.gatech.edu/sites/default/files/2020-08/gt-logo-gold.png,INSTITUTE
i41,Washington University in St Louis,https://upload.wikimedia.org/wikipedia/en/thumb/d/d7/WashU_St._Louis_seal.svg/1200px-WashU_St._Louis_seal.svg.png,INSTITUTE
i42,Boston College,https://upload.wikimedia.org/wikipedia/en/thumb/9/96/Boston_College_Eagles_logo.svg/1200px-Boston_College_Eagles_logo.svg.png,INSTITUTE
i43,University of Michigan,https://brand.umich.edu/assets/brand/downloads/um-logos/primary_logo_kit/color-logo/u-m_logo-hex.png,INSTITUTE
i44,California Institute of Technology,https://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Seal_of_the_California_Institute_of_Technology.svg/1200px-Seal_of_the_California_Institute_of_Technology.svg.png,INSTITUTE
i45,Brown University,http://assets.stickpng.com/images/5842f7f1a6515b1e0ad75b27.png,INSTITUTE
i46,University of California--Santa Barbara,https://www.logolynx.com/images/logolynx/14/14b70fa39921f5c0b6302406b0654e3c.png,INSTITUTE
i47,University of Georgia,https://brand.uga.edu/wp-content/uploads/GEORGIA-V-FC-1024x787.png,INSTITUTE
i48,University of California--Davis,https://logos-download.com/wp-content/uploads/2019/11/UC_Davis_Logo_text.png,INSTITUTE
i49,Princeton University,https://upload.wikimedia.org/wikipedia/en/thumb/f/f0/Princeton_Univ_seal.svg/1200px-Princeton_Univ_seal.svg.png,INSTITUTE
i50,Auburn University,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Auburn_Tigers_logo.svg/1158px-Auburn_Tigers_logo.svg.png,INSTITUTE
i51,Fordham University,https://upload.wikimedia.org/wikipedia/en/thumb/3/3e/Fordham_University_seal.svg/1200px-Fordham_University_seal.svg.png,INSTITUTE
i52,University of Maryland--College Park,https://upload.wikimedia.org/wikipedia/en/thumb/3/3e/University_of_Maryland_seal.svg/1200px-University_of_Maryland_seal.svg.png,INSTITUTE
i53,Howard University,https://seekvectorlogo.com/wp-content/uploads/2018/01/howard-university-vector-logo.png,INSTITUTE
i54,University at Buffalo--SUNY,https://upload.wikimedia.org/wikipedia/commons/6/60/University_at_Buffalo_logo.png,INSTITUTE
i55,Texas A M University,https://brandguide.tamu.edu/assets/img/logos/tam-stack.png,INSTITUTE
i56,University of Massachusetts--Amherst,https://upload.wikimedia.org/wikipedia/en/thumb/4/4f/University_of_Massachusetts_Amherst_seal.svg/1200px-University_of_Massachusetts_Amherst_seal.svg.png,INSTITUTE
i57,Stony Brook University--SUNY,https://upload.wikimedia.org/wikipedia/en/thumb/3/3b/Stony_Brook_U_logo_vertical.svg/1200px-Stony_Brook_U_logo_vertical.svg.png,INSTITUTE
i58,Purdue University--West Lafayette,https://www.clipartkey.com/mpngs/m/143-1431376_purdue-university-purdue-university-west-lafayette-logo-png.png,INSTITUTE
i59,George Washington University,https://creativeservices.gwu.edu/sites/g/files/zaxdzs2746/f/downloads/gw_primary_2c_0.png,INSTITUTE
i60,Indiana University--Bloomington,https://banner2.cleanpng.com/20180704/pft/kisspng-indiana-university-bloomington-indiana-university-5b3cde6d8562e9.1571788115307157575464.jpg,INSTITUTE
i61,University of Iowa,https://brand.uiowa.edu/sites/brand.uiowa.edu/files/styles/widescreen__768_x_432/public/2020-05/Block%20IOWA-gold%20on%20white%402x_0.png?h=42ab2369&itok=g1h8P3NH,INSTITUTE
