keywords.id,keywords.name
406,internet
846,power control
1379,wireless mesh networks
6997,signal strength
8857,spatial reuse
13682,mac layer
26673,client
56308,access points
59312,leverage
2309,language
2600,change management
6752,algebraic approach
9278,confusion
14444,recent work
15377,operations
24075,division
26383,options
48584,error-correction
3939,hardware
9314,graphics
10435,performance improvement
11788,frame rate
14621,hierarchies
16014,linear algorithm
18024,constant time
18389,polygons
63223,cpu time
3241,retinal image
3990,reproducibility
5635,confidence interval
6632,glaucoma
8415,laser scanning
21631,pilot study
29278,optic nerve head
44877,volunteers
63206,progression
324,data stream
4485,dynamic graph
10050,unweighted graph
12877,edge connectivity
28586,combinatorial
51158,spectral information
63454,effective resistance
71854,sampling probability
73620,independent interest
1638,redundancy
3539,execution engine
4047,correctness
4132,domain-specific language
5532,dataflow
18246,automatic theorem prover
20410,compiler optimizations
21360,optimizations
24928,transformation rules
5554,industry
10498,eclipse
11344,work
13509,germany
21420,future
24749,academia
26828,developers
27512,poster session
40541,researchers
925,abstract machine
2173,prolog
7253,tag
12347,functionality
16498,lisp
28338,execution
38422,data dependencies
61676,instruction set
2074,syntax tree
4764,syntax
7889,metric spaces
11713,assertion
15210,context-free grammar
21929,unique fixed point
27350,classical result
37574,infinite tree
174,ontologies
3382,corpus
4354,bootstrapping
14106,specifications
25897,entity
47609,refinements
48115,lexical ontology
54182,text corpora
60545,predicates
1331,manufacturing
2776,nanotechnology
5198,hypertext
5371,markup language
8532,biotechnology
11391,html
11925,biomedical
47812,microelectronics
64860,manuscripts
0,machine learning
362,semantic similarity
2134,research
2602,learning algorithm
3345,training data
13760,text similarity
21014,relatedness
43863,evaluations
325,k-means
501,latent dirichlet allocation
1602,information sharing
2197,gibbs sampling
2610,variational methods
2983,high-dimensional data
8062,temporal data
9206,unit sphere
61526,bayesian formulation
554,knowledge
1910,knowledge extraction
4461,zero-knowledge
12546,identification scheme
17765,argument
21682,paradigm
25621,public-key
81139,round
4578,university
6349,online reviews
7860,business
8443,interviews
9042,website
13212,food
13346,disease
67537,restaurant
74958,outbreak
284,range query
492,search tree
3792,efficient algorithm
6586,dynamic load balancing
14199,queries
14339,tree data structure
24948,difficult problem
48802,hash tables
416,energy consumption
8991,websites
12142,google
13763,mobile web
14586,web browsing
29027,running time
33311,data traffic
76711,download
17,ontology
56,semantic web
207,user interface
465,information systems
722,decision-making
4816,provenance information
29518,product information
382,supervised learning
420,similarity measure
1598,classifier
15864,lexical resources
23542,taxonomies
26472,adjectives
61994,word senses
81287,nlp applications
212,decision making
2412,preferences
5088,skills
6436,cognitive
8437,task performance
12069,priorities
33154,instructions
67347,response selection
75021,future research
130,software architecture
391,message passing interface
1253,critical path
5578,multiprocessor
5954,experimental design
9171,scheduling algorithms
15007,cpu
22761,reliable multicast
26731,dynamic process
214,semantics
5197,mechanism
5252,values
5942,meaning
16499,continuations
23644,calculus
30685,summary
49294,reports
411,metadata
425,computational linguistics
2053,citations
3146,interpretability
3251,economics
13174,generalized linear models
37069,articles
49837,downloads
51486,text content
9,security
199,algorithms
646,aes
1947,program analysis
4405,hypermedia
7687,software architectures
8052,information access
12571,project planning
26741,component-based software
45231,test process
687,power consumption
1787,multi-core
11077,multicore processors
12669,instruction
15861,communication latency
36163,thread
43285,thread-level parallelism
61858,compiler framework
1127,real time
3276,optical coherence tomography
6497,frames
16796,medical applications
29431,catheter
40519,endoscope
45,computer vision
76,pattern recognition
437,bioinformatics
1459,character recognition
3262,classifiers
3512,query object
9430,multimedia databases
10689,image databases
81723,machine learning problem
332,semi-supervised learning
785,minimum description length
1095,annotation
4769,time series classification
6074,medical data
16233,bottleneck
20321,experts
28535,patient
122,learning
1710,computational model
2788,background knowledge
4478,concepts
7114,mathematical knowledge
7190,acquisition
52905,newton
69894,solution technique
46,reinforcement learning
1583,stochastic game
1729,policy
2778,rationality
6770,learning agent
35389,policy learning
52603,empirical results
78,bayesian network
640,training
1422,mammography
3123,bayesian belief network
5513,lexicon
6799,expert knowledge
8429,reporting
8729,breast
29,information retrieval
1044,traceability
2414,retrieval
10101,criteria
17760,automated
17790,traces
20304,experimental results
33710,links
62461,phrases
2886,cost
6605,task
9958,artifact
31015,interactive behavior
35545,head
37173,motor
67273,correct behavior
4167,prior knowledge
7096,signal-to-noise ratio
9918,improvement
19263,endpoint
20075,spectroscopy
33296,quantitative method
38636,ccd
78196,statistic
1435,fmri
3702,object representation
5341,shape recognition
14614,cortex
15264,presentation
21326,receptive fields
23457,neural
50685,visual world
56609,humans
1037,nlp
6278,knowledge elicitation
6766,english
11437,expert
16524,machine translation system
18532,elicitation
35143,rapid development
58462,acquisition process
574,automation
2584,categorization
3682,query
3699,case studies
5210,policies
22569,installation
32724,migration process
74041,checking
1463,imbalanced data
1528,class imbalance
1675,minority class
2953,cross-validation
17095,evaluation measures
2540,semantic
2680,relational databases
7227,mining
24852,benchmark problems
31676,relational
53475,multi-relational data
60259,closed sets
63978,positive answer
976,graph coloring
1197,graph partitioning
4627,scientific computing
6362,preconditioner
6491,original graph
9704,efficient algorithms
38925,bisection algorithm
57560,refinement algorithm
78512,processors
141,education
304,mobile computing
1684,adoption
2838,pedagogy
3666,curriculum
4601,empirical studies
11398,classroom
25066,computing device
46859,laptop
879,software
1219,parallelism
1906,memory access
2316,sparse matrix
5760,prototype implementation
11079,runtime
15411,hardware support
27470,references
671,empirical study
1346,awareness
1849,service
5055,touch
10186,object manipulation
11740,mouse
21375,touchscreens
21547,closeness
49651,planning time
263,efficiency
1937,discretization
3788,linear systems
7060,numerical experiments
7165,matrix
11010,integral equations
24828,formulation
43134,capacitance
61744,forces
44,usability
2850,assistive technologies
4008,health informatics
4725,stakeholders
12401,evaluation criteria
18379,consumer
22384,visualizations
75271,healthcare information
1502,appearance model
2589,dataset
9381,users
24625,real user
24718,segmentation performance
43794,cues
46042,energy minimization problem
78071,efficient inference
78323,active learning approach
80,energy efficiency
594,technology
1726,workload
3560,use cases
6481,path loss
10199,sensor nodes
11923,rfid tags
21214,integrated circuits
23888,computational
26,augmented reality
2266,robots
2295,stroke
7652,posture
13553,portable device
14058,qualitative methods
18505,impedance
37328,diseases
38456,ellipse
525,runtime system
2200,caching
2358,canonical form
2767,local memory
7729,parallel i/o
33254,processor
35153,main idea
69482,engineering applications
101,operating system
5995,data transfer
9823,central processing unit
16626,i/o
22537,buffering
24469,real hardware
30376,controllers
308,navigation
5235,liver
6281,landmarks
16629,fluoroscopy
18500,realtime
24751,patients
54596,three-dimensional space
64921,complete data
65049,lesions
1017,data streams
3524,property testing
11395,stream
15113,aspect ratio
31183,point set
35592,minimal distance
36485,streaming model
61873,hyperplanes
1630,applications
4887,transactions
5271,support
11085,linear
18518,focus
27434,implications
33522,open
405,knowledge base
494,user study
1750,web accessibility
2965,user feedback
5221,information overload
9750,blind users
41103,irrelevant information
41378,learning capability
119,knowledge representation
4111,data integrity
6434,inference process
10271,predicate calculus
22458,formal logic
52291,predicate
74823,multiple paths
2026,teaching
4727,students
5406,universities
5689,communities
6262,practice
12912,open source software development
15308,learning curve
67417,courses
702,logistic regression
12359,intensive care unit
19096,statistical approach
19140,treatment
34137,medication
46199,physicians
61163,patient data
507,concurrency
693,java
2735,object-oriented programming
6850,contracts
8539,software components
26669,language implementation
26993,reusable components
44844,software engineering community
50800,monitoring tools
789,elderly
2357,mean absolute error
3909,deformable registration
4079,public health
4840,statistical learning
12899,alzheimer
23708,human brain
36441,training set
587,detection
600,testing
4870,x-ray
5193,structural health monitoring
11249,failures
12844,auditory
20383,experimental research
42592,inspections
50398,damage
509,parallel algorithms
2555,partial differential equations
2572,testbed
6621,problem size
12108,shallow water equations
25456,parallel computers
29483,climate
29659,global model
2107,multicore
7429,speedup
11735,shared cache
13121,experimental analysis
26363,performance metric
48088,cache partitioning
57370,cache capacity
58624,partitioning scheme
63110,qos requirements
867,cognition
3786,locomotion
6618,visual system
13381,head movement
30226,neurons
47183,sensorimotor
47840,retinal ganglion cells
82888,background motion
692,statistical machine translation
1832,preprocessing
3975,arabic
5445,informatics
6101,chinese
31351,learning experience
36694,faculty
72978,darpa
291,tracking
1940,outliers
3546,color constancy
4935,rigid motion
9734,reference frame
15717,robust algorithm
16314,lighting
20617,video sequences
27596,global structure
5201,attributes
10205,range queries
23997,access methods
52745,record
52799,indices
60250,employee
62533,boolean queries
3282,value
4867,bounds
5491,subgame perfect equilibrium
5956,allocation
7197,price auction
9219,case
15022,equilibria
52969,units
69253,inefficiency
3065,regulation
13999,tasks
14590,self-monitoring
14666,student
18074,learning performance
20059,iterative process
38494,behavior patterns
63705,learners
4574,computer science department
10675,proteins
13104,structural information
21424,nmr
39836,molecular structure
60279,spatial proximity
14491,class
28828,default
817,metrics
1504,discrete geometry
6953,invariance
10735,piecewise linear approximation
13668,convex geometry
18539,dimensions
19656,error tolerance
27432,discussion
33381,quadratic functions
652,signal processing
2701,transfer function
3511,audio
11117,audio processing
19640,acoustics
23709,measurement system
33631,complete system
49132,microphone arrays
490,database
6258,capability
8251,state
9288,user
21672,database management systems
35022,subject
301,kalman filter
727,markov chain monte carlo
2507,data assimilation
7100,bayesian approach
16197,invariant measure
38227,stochastic partial differential equations
47232,mcmc methods
61466,sampling problem
67654,weather prediction
3774,prostate cancer
8867,statistical methods
11586,prognosis
13107,biomarkers
14837,lung
22879,disease diagnosis
42480,markers
4142,transformation language
6353,query rewriting
11734,graph transformations
15050,biomedical ontologies
30771,rdf data
530,graph
3178,partition
7172,parameterized algorithm
14817,submodular functions
38400,total weight
44424,search tree algorithm
69938,integer
9916,boolean satisfiability
11643,computational power
20639,fast computation
25648,digital circuits
32941,semiconductor industry
80395,design challenges
401,type system
1514,constraint system
8263,annotations
8621,expressiveness
8661,languages
14166,subtyping
15657,programmability
50260,decidable
51190,messages
448,integration
522,mobile
5437,arm
7044,camera
21337,reality
28811,das
935,exception handling
4098,intermediate language
6055,compilers
6238,compilation
22467,symbol
23916,object-oriented languages
38541,table
95,game theory
2100,social capital
22641,social relationships
28944,social systems
30303,interests
44139,mathematical framework
49709,orderings
60447,solution concepts
75141,conditional preferences
63,sentiment analysis
8335,blogs
8646,understanding
16376,metaphors
16938,computational analysis
25987,opinion extraction
1102,computed tomography
4714,radiology
6756,automatic annotation
10024,semantic features
18872,controlled vocabulary
32877,lesion
75302,liver lesions
294,homomorphic encryption
881,malware
6957,government
14495,elections
15866,personal computer
24899,canada
30229,voting systems
63632,voter
76039,secret
9710,threats
10637,corruption
21841,user identity
24803,real-world applications
27735,application data
31429,control flow integrity
37191,attack patterns
53332,bug
57053,internet worms
393,software development
1619,productivity
15383,schedule
17041,activities
19259,projects
27346,fault rate
30949,historical data
70424,quantitative models
1911,design process
8141,enterprise
8892,software tools
13124,machining
43504,designers
49859,interactive process
7681,logical structure
8273,learning system
9795,combinatorial explosion
15065,computer program
28768,syntactic
73064,complex environments
80176,real-world
115,data structure
7262,internal representation
16520,control structure
25084,sketches
25479,english text
53109,word problems
55252,textbooks
872,image enhancement
2753,contrast enhancement
5319,benefits
8574,goals
11582,decoupling
25266,implicit
31566,adjustment
42894,dynamic range
54534,chromaticity
22,privacy
68,image retrieval
1212,retrieval performance
8406,mobile systems
9404,computation offloading
17640,privacy concerns
25020,energy savings
30954,servers
11072,dsm
20399,study
27031,checklist
46478,rating scale
47724,self-report
62226,borderline personality disorder
167,computational geometry
202,grid computing
2318,network traffic
2531,infrastructure
4940,environmental monitoring
18772,security attacks
48202,fundamental problem
49147,web logs
4,data mining
86,ubiquitous computing
695,electronic commerce
1343,user interfaces
2233,social simulation
12502,computer hardware
12900,information technologies
24106,internet connectivity
40249,service-oriented systems
270,crowdsourcing
273,android
477,middleware
1190,service selection
1413,mobility management
6265,mobile internet
10153,incentive
17705,revenue
17928,mobile users
2756,voting
9362,noise model
14970,axiomatic characterization
25101,mle
63174,maximum likelihood estimators
63506,nets
69540,voting rules
75892,winner
43,hash function
189,algorithm
675,implementation
1807,development
2289,behavior
5026,computing
14877,scheme
25170,surveys
44130,perfect
2724,guidelines
35306,los
46909,privacy regulation
114,modeling
2875,features
8250,object
14534,collection
235,markov decision process
829,agent
1561,optimal policy
9203,possible worlds
10187,repair
12689,bayes
186,shared memory
564,coordination
1363,mobile agents
5204,computers
12924,threads
25126,paradigms
34362,common framework
661,software testing
684,software quality
14321,system implementation
35542,analysis tools
35699,temporal properties
65857,log file
77367,test suites
950,owl
1503,standardization
18035,representation language
64176,logic reasoning
624,sensors
993,mobile robots
4191,belief
4621,probabilistic algorithm
6633,collaborative
7400,robot localization
11656,teams
478,case-based reasoning
1786,computer system
6226,engineering design
6230,process planning
8166,publications
50292,generative
118,performance evaluation
1703,finite state automaton
2170,automata
6103,line detection
7222,automaton
21149,supervisory control theory
21915,software processes
32818,measure theory
71151,simulation experiments
74,multi-agent systems
8602,organizations
10188,information gathering
22459,crisis
26443,heterogeneous agents
36481,schedulers
46765,proxies
73734,system failures
83,mutual information
285,feature vector
2227,speech recognition system
3780,correlation coefficient
12709,phoneme recognition
14665,acoustic features
14919,clean speech
46316,maximum mutual information
61052,feature sets
97,digital library
5128,computer
33400,animals
40003,young children
49154,mice
51224,collaborative behavior
322,healthcare
2689,electronic health records
7864,prevention
11338,united states
13382,dispute resolution
19330,health information
2217,causality
2267,sequential pattern mining
4606,plan recognition
8092,sequential patterns
12355,actions
63062,run
6847,measures
12885,complexity classes
22411,material
27149,crc
3831,hybrid approach
5266,data-driven
11257,median
25112,questions
35874,score
54566,track
64870,authors
2183,virtual worlds
3248,online
7365,predictive modeling
7870,social
14023,real world
32827,generalizability
55710,large subset
306,multimedia
1077,video
1336,music
5785,jitter
11063,dance
12295,improvisation
15416,performances
22482,funding
29445,mexico
4396,dna
11166,microfluidics
26674,real-time analysis
26728,designs
32304,corrosion
32613,silicon
44489,detectors
55700,chip
1299,surveillance
